交易日期,开盘价,最高价,最低价,收盘价,amount,当日净流入,北向资金流_低阈值,北向资金流_高阈值,signal,pos,equity_change,benchmark
2016-01-08,3371.87,3418.85,3237.93,3361.56,185959451.0,295000000.0,-116000000.0,1116999999.999999,,0.0,0.0,0.7148240137454706
2016-01-11,3303.12,3342.48,3192.45,3192.45,174638387.0,-456000000.0,-116000000.0,1103999999.9999986,0.0,0.0,0.0,0.6788633618563189
2016-01-12,3214.82,3242.25,3174.55,3215.71,128225796.0,-636000000.0,-124333333.3333332,1090999999.999998,,0.0,0.0,0.683809519759114
2016-01-13,3240.48,3257.3,3155.88,3155.88,120666494.0,200000000.0,-140999999.99999964,1077999999.9999998,,0.0,0.0,0.6710868788595342
2016-01-14,3076.64,3226.66,3072.04,3221.57,134537671.0,-23000000.0,-132666666.66666642,1076666666.6666665,,0.0,0.0,0.6850556283279179
2016-01-15,3200.89,3216.8,3101.05,3118.73,124601779.0,-105000000.0,-124333333.3333332,1075333333.3333333,,0.0,0.0,0.6631870608849497
2016-01-18,3068.23,3165.62,3066.73,3130.73,101128386.0,383000000.0,-116000000.0,1074000000.0,,0.0,0.0,0.6657388190463229
2016-01-19,3132.7,3227.91,3119.22,3223.12,127653893.0,600000000.0,-116000000.0,1073000000.0,,0.0,0.0,0.6853852304237619
2016-01-20,3204.22,3225.95,3154.43,3174.38,130650504.0,-593000000.0,-116000000.0,1072000000.0,0.0,0.0,0.0,0.6750208393583178
2016-01-21,3136.38,3202.54,3081.35,3081.35,111189733.0,-162000000.0,-116000000.0,1071000000.0,,0.0,0.0,0.6552383342122722
2016-01-22,3114.9,3132.17,3053.96,3113.46,89951087.0,619000000.0,-132666666.66666642,1070000000.0,,0.0,0.0,0.6620664137590799
2016-01-25,3129.03,3149.33,3105.1,3128.89,81540061.0,250000000.0,-124333333.3333332,1068999999.9999998,,0.0,0.0,0.6653475494615789
2016-01-26,3099.6,3106.53,2934.65,2940.51,126933921.0,-235000000.0,-116000000.0,1067999999.9999982,0.0,0.0,0.0,0.625289199258289
2016-01-27,2953.18,2963.54,2839.29,2930.35,132229366.0,4485000000.0,-132666666.66666642,1047999999.9999976,1.0,0.0,0.0,0.6231287106816596
